lat,lon
37.5160000,127.1016000
37.5159000,127.1023000
37.5162000,127.1024000
37.5158000,127.1022000
37.5019000,127.1287000
37.5032000,127.1310000
37.5161000,127.1118000
37.5159000,127.1021000
37.5162000,127.1016000
37.5017000,127.1028000
37.5030000,127.1018000
37.5325000,127.1143000
37.5363000,127.1189000
37.5359000,127.1206000
37.5338000,127.1205000
37.5081000,127.0857000
37.5100000,127.1144000
37.5007000,127.1123000
37.5042000,127.0876000
37.5166000,127.0744000
37.5174000,127.0750000
37.5174000,127.0743000
37.5172000,127.0744000
37.5169000,127.0760000
37.5168000,127.0751000
37.5129000,127.0762000
37.5125000,127.0764000
37.5178000,127.0721000
37.5126000,127.0765000
37.5158000,127.0745000
37.5161000,127.0744000
37.5167000,127.0741000
37.5147000,127.0737000
37.5154000,127.0754000
37.5153000,127.0741000
37.5150000,127.0741000
37.5158000,127.0749000
37.5156000,127.0764000
37.5169000,127.0758000
37.5141000,127.0714000
37.5175000,127.0729000
37.5136000,127.0756000
37.5131000,127.0765000
37.5131000,127.0725000
37.5125000,127.0737000
37.5138000,127.0743000
37.5130000,127.0737000
37.5129000,127.0739000
37.5115000,127.0732000
37.5152000,127.0771000
37.5139000,127.0750000
37.5141000,127.0709000
37.5142000,127.0712000
37.5142000,127.0770000
37.5141000,127.0770000
37.5178000,127.0731000
37.5148000,127.0751000
37.5159000,127.0700000
37.5160000,127.0709000
37.5184000,127.0854000
37.5171000,127.0717000
37.5300000,127.1077000
37.5144000,127.0718000
37.5147000,127.0719000
37.5171000,127.0721000
37.5171000,127.0734000
37.5154000,127.0714000
37.5161000,127.0711000
37.5168000,127.0739000
37.5117000,127.1040000
37.5118000,127.1035000
37.5153000,127.1016000
37.5076000,127.1047000
37.5148000,127.0994000
37.5271000,127.1145000
37.5038000,127.1082000
37.5140000,127.0993000
37.4943000,127.1168000
37.5156000,127.1304000
37.4945000,127.1174000
37.5067000,127.1406000
37.4999000,127.1267000
37.5069000,127.1061000
37.5012000,127.1105000
37.5091000,127.0978000
37.5248000,127.1083000
37.5106000,127.0717000
37.5254000,127.1049000
37.5139000,127.1019000
37.5077000,127.0809000
37.5078000,127.0812000
37.4881000,127.1357000
37.5086000,127.1035000
37.4888000,127.1359000
37.4952000,127.1461000
37.5085000,127.0856000
37.5200000,127.0900000
37.5400000,127.1100000
37.5166000,127.0821000
37.5136000,127.0997000
37.5175000,127.0903000
37.4947000,127.1053000
