lat,lon
37.4760653,127.0672862
37.4778026,127.0652961
37.4773714,127.0634210
37.4771887,127.0640825
37.4770074,127.0641884
37.4762302,127.0645785
37.4776181,127.0652863
37.4772201,127.0656871
37.4767809,127.0658895
37.4780779,127.0660235
37.4780779,127.0660063
37.4770559,127.0679613
37.4768804,127.0681113
37.4760672,127.0684154
37.4760131,127.0684154
37.4760672,127.0684078
37.4751731,127.0692690
37.4800576,127.0641534
37.4816184,127.0587363
37.4775653,127.0582861
37.4775930,127.0581035
37.4775768,127.0584901
37.4776255,127.0577006
37.4776685,127.0586740
37.4777651,127.0582213
37.4779822,127.0583223
37.4854075,127.0596369
37.4861526,127.0561210
37.4861526,127.0561783
37.4861933,127.0561210
37.4850507,127.0564411
37.4850375,127.0564411
37.4850427,127.0569791
37.4841646,127.0573713
37.4749598,127.0687631
37.4891407,127.0708590
37.4891407,127.0708715
37.4830794,127.0638670
37.4842188,127.0644235
37.4830348,127.0621643
37.4836963,127.0627130
37.4839502,127.0624850
37.4839425,127.0622815
37.4841625,127.0621666
37.4834169,127.0623275
37.4838858,127.0619368
37.4840480,127.0618517
37.4832910,127.0620166
37.4832791,127.0620343
37.4835886,127.0616961
37.4835886,127.0616372
37.4837051,127.0608903
37.4841474,127.0616364
37.4840542,127.0624902
37.4837797,127.0608903
37.4833887,127.0614511
37.4833647,127.0616209
37.4832773,127.0617587
37.4829472,127.0617176
37.4831409,127.0611985
37.4832835,127.0609361
37.4835676,127.0608776
37.4831950,127.0608243
37.4829241,127.0610321
37.4830905,127.0610484
37.4829758,127.0610671
37.4827613,127.0613267
37.4829977,127.0605514
37.4831580,127.0603954
37.4838186,127.0598913
37.4835301,127.0606636
37.4839045,127.0609908
37.4841945,127.0615346
37.4844670,127.0610534
37.4842258,127.0607166
37.4841711,127.0606249
37.4838312,127.0605492
37.4838878,127.0603274
37.4835254,127.0601398
37.4837880,127.0595883
37.4840312,127.0598122
37.4840243,127.0598967
37.4843207,127.0601422
37.4841179,127.0603046
37.4843479,127.0607022
37.4849603,127.0594065
37.4849603,127.0594763
37.4854075,127.0596962
37.4854761,127.0596369
37.4854075,127.0596018
37.4853662,127.0594443
37.4864629,127.0577828
37.4864972,127.0577828
37.4862141,127.0577406
37.4865765,127.0590055
37.4889084,127.0692310
37.4886984,127.0675014
37.4886595,127.0677528
37.4887549,127.0673717
37.4886671,127.0675014
37.4886126,127.0675014
37.4890243,127.0671049
37.4890519,127.0671869
37.4888597,127.0676575
37.4891076,127.0675212
37.4889197,127.0680216
37.4892741,127.0683443
37.4890469,127.0684460
37.4893140,127.0688421
37.4889765,127.0682539
37.4889575,127.0680379
37.4893072,127.0688421
37.4788202,127.0516588
37.4771159,127.0518861
37.4782914,127.0516639
37.4783298,127.0513989
37.4784745,127.0517243
37.4785626,127.0513378
37.4787455,127.0511434
37.4790766,127.0511727
37.4788591,127.0505762
37.4786614,127.0506587
37.4781219,127.0515288
37.4779610,127.0511854
37.4780810,127.0510579
37.4784095,127.0507259
37.4781762,127.0504773
37.4785801,127.0505639
37.4782248,127.0503398
37.4786815,127.0501534
37.4788940,127.0505762
37.4786810,127.0498439
37.4784880,127.0500082
37.4784091,127.0501134
37.4782716,127.0503103
37.4780785,127.0505384
37.4778110,127.0508135
37.4778580,127.0508055
37.4769586,127.0502677
37.4773030,127.0503868
37.4775384,127.0505224
37.4774638,127.0502453
37.4777213,127.0503243
37.4778170,127.0500838
37.4779364,127.0500341
37.4779364,127.0500435
37.4780908,127.0496524
37.4780786,127.0499559
37.4778843,127.0490718
37.4784601,127.0497471
37.4778008,127.0500838
37.4788710,127.0492424
37.4788323,127.0489697
37.4786347,127.0485877
37.4785043,127.0486065
37.4785673,127.0488971
37.4782785,127.0491739
37.4779095,127.0495791
37.4775336,127.0499398
37.4771404,127.0497487
37.4768347,127.0500134
37.4766078,127.0497660
37.4773139,127.0496218
37.4774221,127.0494980
37.4776715,127.0492653
37.4777776,127.0491287
37.4779317,127.0489671
37.4781780,127.0487281
37.4784275,127.0484927
37.4787334,127.0479163
37.4784328,127.0478812
37.4768630,127.0505755
37.4767570,127.0501651
37.4767413,127.0503598
37.4765457,127.0500887
37.4766078,127.0497151
37.4764266,127.0507277
37.4767409,127.0510567
37.4762308,127.0514732
37.4762886,127.0514732
37.4765807,127.0524499
37.4765848,127.0524499
37.4759156,127.0525106
37.4755797,127.0533035
37.4755643,127.0554971
37.4749952,127.0562851
37.4751083,127.0541568
37.4751607,127.0542689
37.4750558,127.0543716
37.4748854,127.0546288
37.4748809,127.0548046
37.4744732,127.0549269
37.4742824,127.0547078
37.4740972,127.0544051
37.4738471,127.0539626
37.4735206,127.0535072
37.4741122,127.0541249
37.4740968,127.0537497
37.4742971,127.0538769
37.4744070,127.0535067
37.4745683,127.0533417
37.4746180,127.0534034
37.4748816,127.0532357
37.4750381,127.0534495
37.4750381,127.0534344
37.4747787,127.0536476
37.4747787,127.0536948
37.4746070,127.0539462
37.4744707,127.0541235
37.4746262,127.0543595
