lat,lon
37.51180000,127.07350000
37.51200000,127.07340000
37.48360000,127.03740000
37.48500000,127.04060000
37.46890000,127.06550000
37.46790000,127.06650000
37.46810000,127.06680000
37.46940000,127.06550000
37.48500000,127.04060000
37.48500000,127.04060000
37.48500000,127.04060000
37.48490000,127.04060000
37.48240000,127.04140000
37.47530000,127.08290000
37.47530000,127.08290000
37.47530000,127.08290000
37.48260000,127.04280000
37.48260000,127.04280000
37.48260000,127.04280000
37.48260000,127.04280000
37.46890000,127.06170000
37.46890000,127.06170000
37.48010000,127.04350000
37.48010000,127.04350000
37.46340000,127.08970000
37.46340000,127.08970000
37.46340000,127.08970000
37.46520000,127.08680000
37.46440000,127.08530000
37.46440000,127.08530000
37.46440000,127.08530000
37.46440000,127.08530000
37.48250000,127.04250000
37.48250000,127.04250000
37.48250000,127.04250000
37.48250000,127.04250000
37.48250000,127.04250000
37.48310000,127.03900000
37.48320000,127.03960000
37.47960000,127.04340000
37.48250000,127.04250000
37.46520000,127.08680000
37.48220000,127.04070000
37.47970000,127.04170000
37.47980000,127.04170000
37.48410000,127.03730000
37.47870000,127.04270000
37.47960000,127.04340000
37.48280000,127.03790000
37.48370000,127.04070000
37.48280000,127.03790000
37.47970000,127.04170000
37.48370000,127.04080000
37.48390000,127.03730000
37.48340000,127.03750000
37.48390000,127.03730000
37.48390000,127.03730000
37.48350000,127.03900000
37.48310000,127.03830000
37.48340000,127.03900000
37.46430000,127.09030000
37.48360000,127.04150000
37.48360000,127.04150000
37.48430000,127.04110000
37.48430000,127.04120000
37.48430000,127.04110000
37.48430000,127.04140000
37.48430000,127.04110000
37.47450000,127.04790000
37.48110000,127.04010000
37.48320000,127.03960000
37.48110000,127.04010000
37.48110000,127.04010000
37.48060000,127.04250000
37.48370000,127.04080000
37.48340000,127.03750000
37.48340000,127.03750000
37.47920000,127.04390000
37.47820000,127.04350000
37.47900000,127.04400000
37.48360000,127.04150000
37.48060000,127.04250000
37.48060000,127.04250000
37.48340000,127.03750000
37.47930000,127.04290000
37.48210000,127.03900000
37.47980000,127.04170000
37.48060000,127.04090000
37.48090000,127.04200000
37.48260000,127.04050000
37.47690000,127.04530000
37.47690000,127.04530000
37.47690000,127.04530000
37.48230000,127.03940000
37.48230000,127.03940000
37.47560000,127.04620000
37.47690000,127.04530000
37.48330000,127.03930000
37.47930000,127.04300000
37.47930000,127.04330000
37.47560000,127.04620000
37.47950000,127.04290000
37.47560000,127.04610000
37.46430000,127.09030000
37.47560000,127.04610000
37.47510000,127.04660000
37.48420000,127.03850000
37.48250000,127.04200000
37.48250000,127.04200000
37.47890000,127.04400000
37.48220000,127.04070000
37.48220000,127.04070000
37.48260000,127.04050000
37.47890000,127.04400000
37.48070000,127.04090000
37.48070000,127.04090000
37.48370000,127.03850000
37.48350000,127.03900000
37.48260000,127.04200000
37.48440000,127.03980000
37.48110000,127.04010000
37.48440000,127.03980000
37.48060000,127.04250000
37.48280000,127.03790000
37.48440000,127.03980000
37.48220000,127.03900000
37.48310000,127.03830000
37.48320000,127.03820000
37.48420000,127.03850000
37.48420000,127.03850000
37.48420000,127.03820000
37.48210000,127.03900000
37.48500000,127.04560000
37.48700000,127.03480000
37.51980000,127.03350000
37.46390000,127.10150000
37.49560000,127.03490000
37.49480000,127.03220000
37.47370000,127.05240000
37.47180000,127.10890000
37.51600000,127.04010000
37.50960000,127.03790000
37.47370000,127.05240000
37.51000000,127.03000000
37.52020000,127.02360000
37.52120000,127.04700000
37.51970000,127.05690000
37.49250000,127.07640000
37.49310000,127.04530000
37.48500000,127.04560000
37.49560000,127.03490000
37.50470000,127.03660000
37.51960000,127.03940000
37.49180000,127.03170000
37.49820000,127.02830000
37.51600000,127.04010000
37.47180000,127.10890000
37.51980000,127.03350000
37.46710000,127.10160000
37.47480000,127.05440000
37.48710000,127.07090000
37.48700000,127.03480000
37.48610000,127.09890000
37.48660000,127.04340000
37.51000000,127.03000000
37.49090000,127.04880000
37.52020000,127.02360000
37.49480000,127.03220000
37.46630000,127.09490000
37.46390000,127.10690000
37.46390000,127.10150000
37.48850000,127.05370000
37.50140000,127.03290000
37.51120000,127.04180000
37.51960000,127.03940000
37.51980000,127.03350000
37.48700000,127.03480000
37.48610000,127.09890000
37.49310000,127.04530000
37.52020000,127.02360000
37.49250000,127.07640000
37.48500000,127.04560000
37.51000000,127.03000000
37.46630000,127.09490000
37.46390000,127.10150000
37.48630000,127.05070000
37.50140000,127.03290000
37.49480000,127.03220000
37.51120000,127.04180000
37.51980000,127.03350000
37.48490000,127.09950000
37.48580000,127.04160000
37.47330000,127.05220000
37.49930000,127.02790000
37.51150000,127.03500000
37.51160000,127.04000000
37.48720000,127.05230000
37.46250000,127.10310000
37.48580000,127.04160000
37.47630000,127.04970000
37.50760000,127.04530000
37.47300000,127.05010000
37.51160000,127.04000000
37.51150000,127.03500000
37.51630000,127.03160000
37.48720000,127.05230000
37.46250000,127.10310000
37.50220000,127.04480000
37.48850000,127.10060000
37.48900000,127.03780000
37.48580000,127.04160000
37.48850000,127.05370000
37.47630000,127.04970000
37.48930000,127.05500000
37.52090000,127.02840000
37.50020000,127.03890000
37.51160000,127.04000000
37.51630000,127.03160000
37.47430000,127.05560000
37.51110000,127.03390000
37.47400000,127.10420000
37.46280000,127.10580000
37.48850000,127.10060000
37.50220000,127.04480000
37.48580000,127.04160000
37.48560000,127.04600000
37.49290000,127.03510000
37.51630000,127.03160000
37.47630000,127.04970000
37.47430000,127.05560000
37.47400000,127.10420000
37.46280000,127.10580000
37.51060000,127.04200000
37.51110000,127.03390000
37.51960000,127.03940000
37.51680000,127.04250000
37.50220000,127.04480000
37.49480000,127.08430000
37.49830000,127.03780000
37.49090000,127.04880000
37.49500000,127.05340000
37.52090000,127.02840000
37.47430000,127.05560000
37.47630000,127.04970000
37.47480000,127.05440000
37.50220000,127.04480000
37.51150000,127.03500000
37.51680000,127.04250000
37.50340000,127.02810000
37.52280000,127.05690000
37.52090000,127.02840000
37.52750000,127.03810000
37.49500000,127.05340000
37.47630000,127.04970000
37.47430000,127.05560000
37.47480000,127.05440000
37.49410000,127.04430000
37.46250000,127.10310000
37.51160000,127.04000000
37.49480000,127.08430000
37.48770000,127.05320000
37.52340000,127.03900000
37.50380000,127.03710000
37.52290000,127.04310000
37.51970000,127.02470000
37.47630000,127.04970000
37.47480000,127.05440000
37.51150000,127.03500000
37.48070000,127.05300000
37.49480000,127.08430000
37.49410000,127.04430000
37.49500000,127.05340000
37.50100000,127.03010000
37.52550000,127.05130000
37.49090000,127.04880000
37.51970000,127.02470000
37.48150000,127.05210000
37.51160000,127.04000000
37.51150000,127.03500000
37.47980000,127.04690000
37.48070000,127.05300000
37.51680000,127.04250000
37.49330000,127.08200000
37.49300000,127.08410000
37.50110000,127.06340000
37.52020000,127.01930000
37.52280000,127.04790000
37.52750000,127.03810000
37.48630000,127.05070000
37.52340000,127.03900000
